lat,lng,population,date,temp,windSpeed,precipitation,humidity,visibility,pressure,dewPoint,dengue,pincode
18.933,84.333,0,2018-02-20,25.375,8.875,0,59.125,10,1012.75,15.625,2,689531
18.933,84.333,0,2018-02-21,26.875,9.25,0,53.125,10,1011,14.5,14,689531
18.933,84.333,0,2018-02-22,27.25,9,0,48.25,10,1010.5,13.375,31,689531
18.933,84.333,0,2018-02-23,27.125,9,0,47.125,10,1011.5,13.25,10,689531
18.933,84.333,0,2018-02-24,28.125,9.25,0,41.75,10,1013.5,11.75,58,689531
18.933,84.333,0,2018-02-25,28.625,9.75,0,33.5,10,1013.375,8.875,29,689531
18.933,84.333,0,2018-02-26,29.625,10,0,31.125,10,1011.25,9.125,26,689531
18.933,84.333,0,2018-02-27,28.75,10.25,0,38.75,10,1011.125,12,33,689531
18.933,84.333,0,2018-02-28,29,9.125,0,40.625,10,1011.25,11.875,18,689531
18.933,84.333,0,2018-03-01,28.625,9.25,0,42.375,10,1010.875,12.375,56,689531
18.933,84.333,0,2018-03-02,29.125,10.875,0,44.625,10,1010,14,34,689531
18.933,84.333,0,2018-03-03,31.125,13,0,36.625,10,1008,12.5,42,689531
18.933,84.333,0,2018-03-04,31.125,13.125,0,37.625,10,1008,13,37,689531
18.933,84.333,0,2018-03-05,30.375,13.125,0,40.5,10,1009.625,13.875,68,689531
18.933,84.333,0,2018-03-06,29.875,12.875,0,37.125,10,1010.375,12.5,25,689531
18.933,84.333,0,2018-03-07,29.125,9.25,0,42.125,10,1011,13.875,41,689531
18.933,84.333,0,2018-03-08,28.375,9.25,0,61.625,10,1012.125,19.25,55,689531
18.933,84.333,0,2018-03-09,28.625,9,0,63.5,10,1011.75,19.375,49,689531
18.933,84.333,0,2018-03-10,29.375,10.25,0,50.625,10,1011.875,16.125,35,689531
18.933,84.333,0,2018-03-11,29.5,13.5,0,51.125,10,1012,16.375,19,689531
18.933,84.333,0,2018-03-12,30.625,15.125,0,41,10,1011.125,14,65,689531
18.933,84.333,0,2018-03-13,32,14.125,0,37.375,10,1010,13,58,689531
18.933,84.333,0,2018-03-14,32,13.375,0,34,10,1009.25,12,39,689531
18.933,84.333,0,2018-03-15,31.125,16.625,0,40.625,10,1008.625,14.5,40,689531
18.933,84.333,0,2018-03-16,29.75,13.625,0.275,45.75,9.875,1010.375,15.5,38,689531
18.933,84.333,0,2018-03-17,27.75,10.875,0.875,61.5,9.5,1011.5,18,8,689531
18.933,84.333,0,2018-03-18,29.375,11,0,57,10,1011.75,18,41,689531
18.933,84.333,0,2018-03-19,29.875,9.625,0,54,10,1012.25,18.125,65,689531
18.933,84.333,0,2018-03-20,31.375,10.25,0,49.25,10,1010.5,16.75,18,689531
18.933,84.333,0,2018-03-21,31.25,11.25,0,44.125,10,1008.875,16,43,689531
18.933,84.333,0,2018-03-22,30.125,13.25,0,62.875,9.875,1007.25,21,31,689531
18.933,84.333,0,2018-03-23,30,12,0,72.125,9.875,1007.5,22.25,43,689531
14.867,79.317,0,2018-02-20,25.75,13,0,68.25,10,1012.125,18.625,30,670571
14.867,79.317,0,2018-02-21,25.75,12.375,0,65.625,10,1010.75,18.125,19,670571
14.867,79.317,0,2018-02-22,26.375,12.375,0,63.625,10,1010.5,17.75,6,670571
14.867,79.317,0,2018-02-23,26.375,12.125,0,61.25,10,1011.25,17,30,670571
14.867,79.317,0,2018-02-24,26.125,10.875,0,59.375,10,1013.125,16.5,21,670571
14.867,79.317,0,2018-02-25,25.875,10,0,61.875,10,1013.5,17.25,20,670571
14.867,79.317,0,2018-02-26,26.625,9.625,0,54.875,10,1012.125,14.875,8,670571
14.867,79.317,0,2018-02-27,26.75,11.875,0,52.5,10,1011.25,14.625,19,670571
14.867,79.317,0,2018-02-28,27.125,14.125,0,54.25,10,1010.875,15.625,20,670571
14.867,79.317,0,2018-03-01,27.625,14.875,0,55.625,10,1010.625,16.25,30,670571
14.867,79.317,0,2018-03-02,27.625,14.125,0,52.75,10,1010.375,15.75,35,670571
14.867,79.317,0,2018-03-03,28.625,15.25,0,40.625,10,1009.5,11.5,46,670571
14.867,79.317,0,2018-03-04,28.75,17.625,0,42.25,10,1009.25,12.625,30,670571
14.867,79.317,0,2018-03-05,27.625,15,0,55.875,10,1010.5,16.375,28,670571
14.867,79.317,0,2018-03-06,27.5,15,0,57.875,10,1011.25,16.875,28,670571
14.867,79.317,0,2018-03-07,27.25,12.375,0,61.625,10,1011.5,17.875,18,670571
14.867,79.317,0,2018-03-08,27.75,12.625,0,54,10,1011.625,16,22,670571
14.867,79.317,0,2018-03-09,28,12.5,0,63.125,10,1011.375,19.25,14,670571
14.867,79.317,0,2018-03-10,28.875,12,0,62.625,10,1011.5,19.375,44,670571
14.867,79.317,0,2018-03-11,28.125,12.375,0,65.75,10,1011.75,20.375,53,670571
14.867,79.317,0,2018-03-12,28.125,14,0,68.375,10,1012,20.625,36,670571
14.867,79.317,0,2018-03-13,28.875,13.625,0,70,10,1011.5,21.25,44,670571
14.867,79.317,0,2018-03-14,30.25,17.625,0,62.125,10,1010.75,20.5,39,670571
14.867,79.317,0,2018-03-15,29.625,21.625,0,64.375,10,1009.75,20.875,57,670571
14.867,79.317,0,2018-03-16,29.625,19.75,0.1625,70.5,9.875,1008.875,22.375,24,670571
14.867,79.317,0,2018-03-17,28.5,12.75,3.25,71.875,6.125,1010.5,22,26,670571
14.867,79.317,0,2018-03-18,28.625,14.5,0,63.75,10,1011.75,20.375,41,670571
14.867,79.317,0,2018-03-19,28.5,14.25,0,60.25,10,1012.5,19.375,22,670571
14.867,79.317,0,2018-03-20,29.5,16.625,0,56.375,10,1010.875,18.75,41,670571
14.867,79.317,0,2018-03-21,31.25,20.25,0,50.875,10,1009.375,18.125,50,670571
14.867,79.317,0,2018-03-22,32.125,18.875,0,51.875,10,1007.125,19.125,0,670571
14.867,79.317,0,2018-03-23,32.625,18.25,0,55.125,9.875,1007,20.125,0,670571
14.300,78.900,0,2018-02-20,26.375,11.75,0,48.75,10,1012,12.75,26,670502
14.300,78.900,0,2018-02-21,26.625,12.625,0,41.125,10,1011.25,10.375,14,670502
14.300,78.900,0,2018-02-22,26.75,12.25,0,36.625,10,1010.375,9.375,33,670502
14.300,78.900,0,2018-02-23,26.375,13.5,0,35,10,1011.25,8.375,37,670502
14.300,78.900,0,2018-02-24,25.25,10.625,0,39.5,10,1012.75,9.125,17,670502
14.300,78.900,0,2018-02-25,25.625,10.875,0,50.5,10,1013.375,12,26,670502
14.300,78.900,0,2018-02-26,26.5,9.5,0,38.625,10,1012.25,8.5,20,670502
14.300,78.900,0,2018-02-27,27.375,12,0,32.125,10,1011.625,6.75,12,670502
14.300,78.900,0,2018-02-28,27.25,13.625,0,28.875,10,1011.25,6.5,21,670502
14.300,78.900,0,2018-03-01,27.5,14.125,0,33.25,10,1011,7.75,15,670502
14.300,78.900,0,2018-03-02,27.75,13.75,0,26.375,10,1010.875,4.875,13,670502
14.300,78.900,0,2018-03-03,28.5,13,0,22.125,10,1009.875,2.125,48,670502
14.300,78.900,0,2018-03-04,28.875,14,0,21.875,10,1009.625,3.25,124,670502
14.300,78.900,0,2018-03-05,28,13.5,0,25,10,1010.75,4,20,670502
14.300,78.900,0,2018-03-06,27.5,13.375,0,28.125,10,1011.5,5.375,29,670502
14.300,78.900,0,2018-03-07,27.625,13.25,0,34.125,10,1011.375,7.875,5,670502
14.300,78.900,0,2018-03-08,28.5,13.25,0,30,10,1011.5,6.875,53,670502
14.300,78.900,0,2018-03-09,28.625,12.25,0,33.75,10,1011.5,9.5,58,670502
14.300,78.900,0,2018-03-10,29.125,13,0,38.5,10,1011.375,11.625,30,670502
14.300,78.900,0,2018-03-11,29.125,13.375,0,34.375,10,1011.625,10.625,58,670502
14.300,78.900,0,2018-03-12,28.875,14.75,0,42.75,10,1012.125,12.75,40,670502
14.300,78.900,0,2018-03-13,28.375,15.375,0,51,10,1011.5,15.25,44,670502
14.300,78.900,0,2018-03-14,29.5,16.5,0,47.875,10,1010.5,15.5,48,670502
14.300,78.900,0,2018-03-15,29.25,16.5,0,43.625,10,1009.875,14.125,47,670502
14.300,78.900,0,2018-03-16,29.375,11.125,0.5625,57.875,9,1008.75,18.5,37,670502
14.300,78.900,0,2018-03-17,28.125,14.125,1.7125,62.875,8.375,1010.25,19.5,30,670502
